id_produto,nome_produto,categoria,marca,receita,itens,pedidos,preco_medio_vendido,participacao_pct
prd_727f175116c6,Bicicleta Ergométrica,Esporte,Apple,638.99,10,5,64.54,0.07
prd_4e1abbd002eb,Mochila Esportiva,Esporte,Samsung,617.36,14,10,43.78,0.06
prd_474405dcce41,Brincos de Prata,Acessórios,Motorola,614.49,9,7,68.38,0.06
prd_a479149bae3b,Edredom Casal,Casa,Electrolux,607.13,7,4,86.89,0.06
prd_3805ad8d3d2c,Adaptador HDMI-VGA,Informática,Apple,588.16,4,4,147.04,0.06
prd_06c19781c3db,Assadeira de Vidro,Cozinha,Nike,585.22,6,5,96.86,0.06
prd_2bf8388221ea,Mouse Gamer RGB,Games,Asus,579.88,12,9,47.77,0.06
prd_1649b8a625e4,Fone de Ouvido Bluetooth,Áudio,Adidas,564.3,6,5,94.05,0.06
prd_f6a0a3346af9,Carteira de Couro,Acessórios,LG,547.8,2,2,273.9,0.06
prd_899bd21840eb,Mixer de Áudio,Áudio,O Boticário,540.35,10,5,54.57,0.06
prd_90725b7ac0e8,Espelho de Parede,Casa,Adidas,537.13,7,5,75.83,0.06
prd_fce914504522,Headset Gamer 7.1,Games,Brastemp,524.93,7,4,74.99,0.05
prd_d51f590876b9,Boné Esportivo,Esporte,O Boticário,521.26,9,6,57.43,0.05
prd_d0368e440753,Batom Matte,Beleza,Adidas,520.0,15,12,34.61,0.05
prd_76ede0cece8f,Óculos de Natação,Esporte,Lenovo,504.6,9,7,55.51,0.05
prd_052f1c397fc6,Carteira de Couro,Acessórios,Philips,482.33,7,5,66.99,0.05
prd_0454b1b9fe21,prd_0454b1b9fe21,Sem cadastro,Sem cadastro,477.98,2,1,238.99,0.05
prd_3bee9877eb80,Rádio AM/FM,Áudio,Lenovo,473.2,11,10,43.0,0.05
prd_b2fdb7f36a3f,Blusa de Algodão,Moda,LG,442.46,9,7,49.2,0.05
prd_abc44b46bee1,Sabonete Facial,Beleza,Asus,442.21,3,3,147.4,0.05
prd_6742b65088d8,Porta-temperos,Cozinha,Adidas,440.89,11,6,39.89,0.05
prd_7af81d9a08ba,Controle PlayStation,Games,O Boticário,419.91,9,7,46.42,0.04
prd_951e09f3ecb1,Chaveiro Personalizado,Acessórios,LG,411.52,8,5,49.97,0.04
prd_007af8c5fb0e,prd_007af8c5fb0e,Sem cadastro,Sem cadastro,399.58,2,1,199.79,0.04
prd_b09d96e599b3,Marcador de Texto,Acessórios,Asus,397.6,2,2,198.8,0.04
prd_6f0a4eefed22,Faqueiro Inox 12 Peças,Cozinha,Apple,393.9,10,6,38.99,0.04
prd_3dd1d39581ca,Halteres Ajustáveis,Esporte,Asus,389.47,8,6,48.57,0.04
prd_3308eb4d2b62,Cobertor de Lã,Casa,Arno,385.98,12,11,32.24,0.04
prd_11bf1703f8e9,Caixa de Som Portátil,Áudio,O Boticário,374.4,8,5,46.08,0.04
prd_9b6e92e0766c,Casaco de Inverno,Moda,Arno,357.19,10,9,35.3,0.04
prd_b4a98acf1a5f,Cardigan de Lã,Moda,LG,355.4,10,5,35.54,0.04
prd_ebdebaf4cd37,Edredom Casal,Casa,Xiaomi,349.11,9,7,38.76,0.04
prd_11a9489c4c86,Porta-retrato,Casa,Asus,348.7,5,5,69.74,0.04
prd_31b74a170d35,Saia Midi,Moda,Consul,338.99,5,4,69.26,0.03
prd_74b8e2ff8f97,prd_74b8e2ff8f97,Sem cadastro,Sem cadastro,327.9,1,1,327.9,0.03
prd_c9ce9d378723,Processador Intel i5,Informática,Electrolux,324.71,8,6,40.5,0.03
prd_6185cee255bc,Caixa de Som 2.1,Áudio,LG,318.3,3,3,106.1,0.03
prd_235a85c800bf,prd_235a85c800bf,Sem cadastro,Sem cadastro,278.98,2,1,139.49,0.03
prd_c708b046fef8,Halteres Ajustáveis,Esporte,Mondial,262.2,6,4,43.7,0.03
prd_d205de276c20,Raquete de Tênis,Esporte,Sony,253.46,4,4,63.36,0.03
prd_8dcaa6bdfbb9,prd_8dcaa6bdfbb9,Sem cadastro,Sem cadastro,238.99,1,1,238.99,0.02
prd_8fa1119d3982,Roteador Wi-Fi 6,Eletrônicos,Adidas,231.42,6,4,38.9,0.02
prd_c366b8673062,prd_c366b8673062,Sem cadastro,Sem cadastro,223.19,1,1,223.19,0.02
prd_ab011325c1be,Suporte para Controle,Games,Samsung,220.73,7,5,31.35,0.02
prd_cb9e965f2314,prd_cb9e965f2314,Sem cadastro,Sem cadastro,202.82,1,1,202.82,0.02
prd_5ae195cb554b,Microfone para Stream,Games,Samsung,175.5,3,2,58.5,0.02
prd_7edb1c123c6a,prd_7edb1c123c6a,Sem cadastro,Sem cadastro,172.9,1,1,172.9,0.02
prd_931ff6d38056,prd_931ff6d38056,Sem cadastro,Sem cadastro,147.89,1,1,147.89,0.02
prd_e772a9cda46d,Blusa de Algodão,Moda,LG,138.37,4,4,34.59,0.01
prd_3d2453a6e728,prd_3d2453a6e728,Sem cadastro,Sem cadastro,134.1,2,1,67.05,0.01
prd_35a61bfe666d,Teclado Mecânico RGB,Eletrônicos,Xiaomi,111.98,2,2,55.99,0.01
prd_84adbd000991,prd_84adbd000991,Sem cadastro,Sem cadastro,106.0,1,1,106.0,0.01
prd_ef1a185da3aa,prd_ef1a185da3aa,Sem cadastro,Sem cadastro,105.21,1,1,105.21,0.01
prd_91cfa7eada76,prd_91cfa7eada76,Sem cadastro,Sem cadastro,100.99,1,1,100.99,0.01
prd_65574e733561,prd_65574e733561,Sem cadastro,Sem cadastro,97.9,1,1,97.9,0.01
prd_0b790b565ff2,Mixer de Áudio,Áudio,Sony,91.79,1,1,91.79,0.01
prd_7f61cfa619e3,prd_7f61cfa619e3,Sem cadastro,Sem cadastro,87.9,1,1,87.9,0.01
prd_2b1b2e2c60e1,prd_2b1b2e2c60e1,Sem cadastro,Sem cadastro,85.9,1,1,85.9,0.01
prd_b161f952f659,prd_b161f952f659,Sem cadastro,Sem cadastro,77.9,1,1,77.9,0.01
prd_59109bac228a,prd_59109bac228a,Sem cadastro,Sem cadastro,73.09,1,1,73.09,0.01
prd_b3d5d6aac3ff,prd_b3d5d6aac3ff,Sem cadastro,Sem cadastro,26.99,1,1,26.99,0.0
